,Year,Title,Decision,Abstract
12,2018,Active Testing: An Efficient and Robust Framework for Estimating Accuracy,Oral/Poster,"Much recent work on large-scale visual recogni- tion aims to scale u learning to massive, noisily- annotated datasets. We address the roblem of scaling-u the evaluation of such models to large- scale datasets with noisy labels. Current rotocols for doing so require a human user to either vet (re-annotate) a small fraction of the testset and ignore the rest, or else correct errors in annotation as they are found through manual insection of results. In this work, we re-formulate the roblem as one of active testing, and examine strategies for efficiently querying a user so as to obtain an accurate erformance estimate with minimal vet- ting. We demonstrate the effectiveness of our roosed active testing framework on estimating two erformance metrics, Precision@K and mean Average Precisions, for two oular Comuter Vi- sion tasks, multilabel classification and instance segmentation, resectively. We further show that our aroach is able to siginificantly save human annotation effort and more robust than alterna- tive evaluation rotocols.
"
13,2018,Learning Deep ResNet Blocks Sequentially using Boosting Theory,Oral/Poster,"We rove a \emh{multi-channel telescoing sum boosting} theory for the ResNet architectures which simultaneously creates a new technique for boosting over features (in contrast with labels) and rovides a new algorithm for ResNet-style architectures.  Our roosed training algorithm, \emh{BoostResNet}, is articularly suitable in non-differentiable architectures.  Our method only requires the relatively inexensive sequential training of $T$ ``shallow ResNets''. We rove that the training error decays exonentially with the deth $T$ if the weak module classifiers that we train erform slightly better than some weak baseline.  In other words, we roose a weak learning condition and rove a boosting theory for ResNet under the weak learning condition.  A generalization error bound based on margin theory is roved and suggests that ResNet could be resistant to overfitting using a network with $l_1$ norm bounded weights."
14,2018,Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings,Oral/Poster,"In this work, we take a reresentation learning ersective on hierarchical reinforcement learning, where the roblem of learning lower layers in a hierarchy is transformed into the roblem of learning trajectory-level generative models. We show that we can learn continuous latent reresentations of trajectories, which are effective in solving temorally extended and multi-stage roblems. Our roosed model, SeCTAR, draws insiration from variational autoencoders, and learns latent reresentations of trajectories. A key comonent of this method is to learn both a latent-conditioned olicy and a latent-conditioned model which are consistent with each other. Given the same latent, the olicy generates a trajectory which should match the trajectory redicted by the model. This model rovides a built-in rediction mechanism, by redicting the outcome of closed loo olicy behavior. We roose a novel algorithm for erforming hierarchical RL with this model, combining model-based lanning in the learned latent sace with an unsuervised exloration objective. We show that our model is effective at reasoning over long horizons with sarse rewards for several simulated tasks, outerforming standard reinforcement learning methods and rior methods for hierarchical reasoning, model-based lanning, and exloration. This model rovides a built-in rediction mechanism, by redicting the outcome of closed loo olicy behavior. We roose a novel algorithm for erforming hierarchical RL with this model, combining model-based lanning in the learned latent sace with an unsuervised exloration objective. We show that our model is effective at reasoning over long horizons with sarse rewards for several simulated tasks, outerforming standard reinforcement learning methods and rior methods for hierarchical reasoning, model-based lanning, and exloration.
"
15,2018,Problem Dependent Reinforcement Learning Bounds Which Can Identify Bandit Structure in MDPs,Oral/Poster,"In order to make good decision under uncertainty an agent must learn from observations. To do so, two of the most common frameworks are Contextual Bandits and Markov Decision Processes (MDPs).  In this aer, we study whether there exist algorithms for the more general framework (MDP) which automatically rovide the best erformance bounds for the secific roblem at hand without user intervention and without modifying the algorithm. In articular, it is found that a very minor variant of a recently roosed reinforcement learning algorithm for MDPs already matches the best ossible regret bound $\tilde O (\sqrt{SAT})$ in the dominant term if deloyed on a tabular Contextual Bandit roblem desite the agent being agnostic to such setting."
16,2018,Stochastic PCA with $\ell_2$ and $\ell_1$ Regularization,Oral/Poster,"We revisit convex relaxation based methods for stochastic otimization of rincial comonent analysis (PCA). While methods that directly solve the nonconvex roblem have been shown to be otimal in terms of statistical and comutational efficiency, the methods based on convex relaxation have been shown to enjoy comarable, or even suerior, emirical erformance -- this motivates the need for a  deeer formal understanding of the latter. Therefore, in this aer, we study variants of stochastic gradient descent for a convex relaxation of PCA with (a) $\ell_2$, (b) $\ell_1$, and (c) elastic net ($\ell_1+\ell_2)$ regularization in the hoe that these variants yield (a) better iteration comlexity, (b) better control on the rank of the intermediate iterates, and (c) both, resectively. We show, theoretically and emirically, that comared to revious work on convex relaxation based methods, the roosed variants yield faster convergence and imrove overall runtime  to achieve a certain user-secified $\esilon$-subotimality on the PCA objective. Furthermore, the roosed methods are shown to converge both in terms of the PCA objective as well as the distance between subsaces. However, there still remains a ga in comutational requirements for the roosed methods when comared with existing nonconvex aroaches."
17,2018,Subspace Embedding and Linear Regression with Orlicz Norm,Oral/Poster,"We consider a generalization of the classic linear regression roblem to the case when the loss is an Orlicz norm. An Orlicz norm is arameterized by a non-negative convex function G: Rem+ - &gt; Rem+ with G(0) = 0: the Orlicz norm of a n-dimensional vector x is defined as |x|emG = inf{ alha &gt; 0 | sumem{i = 1}^n G( |xemi|  alha ) &lt; = 1 }. We consider the cases where the function G grows subquadratically. Our main result is based on a new oblivious embedding which embeds the column sace of a given nxd matrix A with Orlicz norm into a lower dimensional sace with L2 norm. Secifically, we show how to efficiently find an mxn embedding matrix S (m &lt; n), such that for every d-dimensional vector x, we have Omega(1(d log n)) |Ax|emG &lt; = |SAx|em2 &lt; = O(d^2 log n) |Ax|emG. By alying this subsace embedding technique, we show an aroximation algorithm for the regression roblem minemx |Ax-b|emG, u to a O( d log^2 n ) factor. As a further alication of our techniques, we show how to also use them to imrove on the algorithm for the L low rank matrix aroximation roblem for 1 &lt; =  &lt; 2.
"
18,2018,Signal and  Noise Statistics Oblivious Orthogonal Matching Pursuit,Oral/Poster,"Orthogonal matching ursuit (OMP) is a widely used algorithm for recovering sarse high dimensional vectors in linear regression models. The otimal erformance of OMP requires a riori knowledge of either the sarsity of regression vector or noise statistics. Both these statistics are rarely known a riori and are very difficult to estimate.  In this aer, we resent a novel technique called residual ratio thresholding (RRT) to oerate OMP without any a riori knowledge of sarsity and noise statistics and establish  finite samle and large samle suort recovery guarantees for the same. Both analytical results and numerical simulations in real and synthetic data sets indicate that RRT has a erformance comarable to OMP with a riori knowledge of sarsity and noise statistics.
"
19,2018,Provable Defenses against Adversarial Examples via the Convex Outer Adversarial Polytope,Oral/Poster,"We roose a method to learn dee ReLU-based classifiers that are rovably robust against norm-bounded adversarial erturbations on the training data. For reviously unseen examles, the aroach is guaranteed to detect all adversarial examles, though it may flag some non-adversarial examles as well. The basic idea is to consider a convex outer aroximation of the set of activations reachable through a norm-bounded erturbation, and we develo a robust otimization rocedure that minimizes the worst case loss over this outer region (via a linear rogram). Crucially, we show that the dual roblem to this linear rogram can be reresented itself as a dee network similar to the backroagation network, leading to very efficient otimization aroaches that roduce guaranteed bounds on the robust loss. The end result is that by executing a few more forward and backward asses through a slightly modified version of the original network (though ossibly with much larger batch sizes), we can learn a classifier that is rovably robust to any norm-bounded adversarial attack. We illustrate the aroach on a number of tasks to train classifiers with robust adversarial guarantees (e.g. for MNIST, we roduce a convolutional classifier that rovably has less than 5.8% test error for any adversarial attack with bounded $\ell_\infty$ norm less than $\esilon = 0.1$)."
20,2018,Learning the Reward Function for a Misspecified Model,Oral/Poster,"In model-based reinforcement learning it is tyical to decoule the roblems of learning the dynamics model and learning the reward function. However, when the dynamics model is flawed, it may generate erroneous states that would never occur in the true environment. It is not clear a riori what value the reward function should assign to such states. This aer resents a novel error bound that accounts for the reward model's behavior in states samled from the model. This bound is used to extend the existing Hallucinated DAgger-MC algorithm, which offers theoretical erformance guarantees in deterministic MDPs that do not assume a erfect model can be learned. Emirically, this aroach to reward learning can yield dramatic imrovements in control erformance when the dynamics model is flawed.
"
21,2018,Deep Reinforcement Learning in Continuous Action Spaces: a Case Study in the Game of Simulated Curling,Oral/Poster,"Many real-world alications of reinforcement learning require an agent to select otimal actions from continuous action saces. Recently, dee neural networks have successfully been alied to games with discrete actions saces. However, dee neural networks for discrete actions are not suitable for devising strategies for games in which a very small change in an action can dramatically affect the outcome. In this aer, we resent a new framework which incororates a dee neural network that can be used to learn game strategies based on a kernel-based Monte Carlo tree search that finds actions within a continuous sace. To avoid hand-crafted features, we train our network using suervised learning followed by reinforcement learning with a high-fidelity simulator for the Olymic sort of curling. The rogram trained under our framework outerforms existing rograms equied with several hand-crafted features and won an international digital curling cometition.
"
22,2018,Do Outliers Ruin Collaboration?,Oral/Poster,"We consider the roblem of learning a binary classifier from $n$ different data sources, among which at most an $\eta$ fraction are adversarial. The overhead is defined as the ratio between the samle comlexity of learning in this setting and that of learning the same hyothesis class on a single data distribution. We resent an algorithm that achieves an $O(\eta n + \ln n)$ overhead, which is roved to be worst-case otimal. We also discuss the otential challenges to the design of a comutationally efficient learning algorithm with a small overhead."
23,2018,"Dropout Training, Data-dependent Regularization, and Generalization Bounds",Oral/Poster,"We study the roblem of generalization guarantees for droout training. A general framework is first roosed for learning rocedures with random erturbation on model arameters. The generalization error is bounded by sum of two offset Rademacher comlexities: the main term is Rademacher comlexity of the hyothesis class with minus offset induced by the erturbation variance, which characterizes data-deendent regularization by the random erturbation; the auxiliary term is offset Rademacher comlexity for the variance class, controlling the degree to which this regularization effect can be weakened. For neural networks, we estimate uer and lower bounds for the variance induced by truthful droout, a variant of droout that we roose to ensure unbiased outut and fit into our framework, and the variance bounds exhibits connection to adative regularization methods. By alying our framework to ReLU networks with one hidden layer, a generalization uer bound is derived with no assumtions on the arameter norms or data distribution, with $O(1n)$ fast rate and adativity to geometry of data oints being achieved at the same time."
24,2018,Competitive Multi-agent Inverse Reinforcement Learning with Sub-optimal Demonstrations,Oral/Poster,"This aer considers the roblem of inverse reinforcement learning in zero-sum stochastic games when exert demonstrations are known to be subotimal. Comared to revious works that decoule agents in the game by assuming otimality in exert olicies, we introduce a new objective function that directly its exerts against Nash Equilibrium olicies, and we design an algorithm to solve for the reward function in the context of inverse reinforcement learning with dee neural networks as model aroximations. To ?nd Nash Equilibrium in large-scale games, we also roose an adversarial training algorithm for zero-sum stochastic games, and show the theoretical aeal of non-existence of local otima in its objective function. In numerical exeriments, we demonstrate that our Nash Equilibrium and inverse reinforcement learning algorithms address games that are not amenable to existing benchmark algorithms. Moreover, our algorithm successfully recovers reward and olicy functions regardless of the quality of the sub-otimal exert demonstration set.
"
25,2018,Continual Reinforcement Learning with Complex Synapses,Oral/Poster,"Unlike humans, who are caable of continual learning over their lifetimes, artificial neural networks have long been known to suffer from a henomenon known as catastrohic forgetting, whereby new learning can lead to abrut erasure of reviously acquired knowledge. Whereas in a neural network the arameters are tyically modelled as scalar values, an individual synase in the brain comrises a comlex network of interacting biochemical comonents that evolve at different timescales. In this aer, we show that by equiing tabular and dee reinforcement learning agents with a synatic model that incororates this biological comlexity (Benna &am; Fusi, 2016), catastrohic forgetting can be mitigated at multile timescales. In articular, we find that as well as enabling continual learning across sequential training of two simle tasks, it can also be used to overcome within-task forgetting by reducing the need for an exerience relay database.
"
26,2018,Equivalence of Multicategory SVM and Simplex Cone SVM: Fast Computations and Statistical Theory,Oral/Poster,"The multicategory SVM (MSVM) of Lee et al. (2004) is a natural generalization of the classical, binary suort vector machines (SVM).  However, its use has been limited by comutational difficulties.  The simlex-cone SVM (SCSVM) of Mroueh et al. (2012) is a comutationally efficient multicategory classifier, but its use has been limited by a seemingly oaque interretation.  We show that MSVM and SCSVM are in fact exactly equivalent, and rovide a bijection between their tuning arameters.  MSVM may then be entertained as both a natural and comutationally efficient multicategory extension of SVM.  We further rovide a Donsker theorem for finite-dimensional kernel MSVM and artially answer the oen question ertaining to the very cometitive erformance of One-vs-Rest methods against MSVM.  Furthermore, we use the derived asymtotic covariance formula to develo an inverse-variance weighted classification rule which imroves on the One-vs-Rest aroach.
"
27,2018,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift,Oral/Poster,"We rovide initial seedings to the Quick Shift clustering algorithm, which aroximate the locally high-density regions of the data. Such seedings act as more stable and exressive cluster-cores than the singleton modes found by Quick Shift. We establish statistical consistency guarantees for this modification. We then show strong clustering erformance on real datasets as well as romising alications to image segmentation.
"
28,2018,Learning Diffusion using Hyperparameters,Oral/Poster,"In this aer we advocate for a hyerarametric aroach to learn diffusion in the indeendent cascade (IC) model. The samle comlexity of this model is a function of the number of edges in the network and consequently learning becomes infeasible when the network is large. We study a natural restriction of the hyothesis class using additional information available in order to dramatically reduce the samle comlexity of the learning rocess. In articular we assume that diffusion robabilities can be described as a function of a global hyerarameter and features of the individuals in the network. One of the main challenges with this aroach is that training a model reduces to otimizing a non-convex objective. Desite this obstacle, we can shrink the best-known samle comlexity bound for learning IC by a factor of |E|d where |E| is the number of edges in the grah and d is the dimension of the hyerarameter. We show that under mild assumtions about the distribution generating the samles one can rovably train a model with low generalization error. Finally, we use large-scale diffusion data from Facebook to show that a hyerarametric model using aroximately 20 features er node achieves remarkably high accuracy.
"
29,2018,Learning a Mixture of Two Multinomial Logits,Oral/Poster,"The classical Multinomial Logit (MNL) is a behavioral model for user   choice.  In this model, a user is offered a slate of choices (a   subset of a finite universe of $n$ items), and selects exactly one   item from the slate, each with robability roortional to its   (ositive) weight.  Given a set of observed slates and choices, the   likelihood-maximizing item weights are easy to learn at scale, and   easy to interret.  However, the model fails to reresent common   real-world behavior.   As a result, researchers in user choice often turn to mixtures of   MNLs, which are known to aroximate a large class of models of   rational user behavior.  Unfortunately, the only known algorithms   for this roblem have been heuristic in nature.  In this aer we   give the first olynomial-time algorithms for exact learning of   uniform mixtures of two MNLs.  Interestingly, the arameters of the   model can be learned for any $n$ by samling the behavior of random   users only on slates  of sizes 2 and 3; in contrast, we show that slates   of size 2 are insufficient by themselves."
30,2018,Crowdsourcing with Arbitrary Adversaries,Oral/Poster,"Most existing works on crowdsourcing assume that the workers follow the Dawid-Skene model, or the one-coin model as its secial case, where every worker makes mistakes indeendently of other workers and with the same error robability for every task. We study a significant extension of this restricted model. We allow almost half of the workers to deviate from the one-coin model and for those workers, their robabilities of making an error to be task-deendent and to be arbitrarily correlated. In other words, we allow for arbitrary adversaries, for which not only error robabilities can be high, but which can also erfectly collude. In this adversarial scenario, we design an efficient algorithm to consistently estimate the workers’ error robabilities.
"
31,2018,Deep Density Destructors,Oral/Poster,"We roose a unified framework for dee density models by formally defining density destructors. A density destructor is an invertible function that transforms a given density to the uniform density---essentially destroying any structure in the original density. This destructive transformation generalizes Gaussianization via ICA and more recent autoregressive models such as MAF and Real NVP. Informally, this transformation can be seen as a generalized whitening rocedure or a multivariate generalization of the univariate CDF function. Unlike Gaussianization, our destructive transformation has the elegant roerty that the density function is equal to the absolute value of the Jacobian determinant. Thus, each layer of a dee density can be seen as a shallow density---uncovering a fundamental connection between shallow and dee densities. In addition, our framework rovides a common interface for all revious methods enabling them to be systematically combined, evaluated and imroved. Leveraging the connection to shallow densities, we also roose a novel tree destructor based on tree densities and an image-secific destructor based on ixel locality. We illustrate our framework on a 2D dataset, MNIST, and CIFAR-10. Code is available on first author's website.
"
32,2018,Programmatically Interpretable Reinforcement Learning,Oral/Poster,"We resent a reinforcement learning framework, called Programmatically Interretable Reinforcement Learning (PIRL), that is designed to generate interretable and verifiable agent olicies. Unlike the oular Dee Reinforcement Learning (DRL) aradigm, which reresents olicies by neural networks, PIRL reresents olicies using a high-level, domain-secific rogramming language. Such rogrammatic olicies have the benefits of being more easily interreted than neural networks, and being amenable to verification by symbolic methods. We roose a new method, called Neurally Directed Program Search (NDPS), for solving the challenging nonsmooth otimization roblem of finding a rogrammatic olicy with maximal reward. NDPS works by first learning a neural olicy network using DRL, and then erforming a local search over rogrammatic olicies that seeks to minimize a distance from this neural “oracle”. We evaluate NDPS on the task of learning to drive a simulated car in the TORCS car-racing environment. We demonstrate that NDPS is able to discover human-readable olicies that ass some significant erformance bars. We also show that PIRL olicies can have smoother trajectories, and can be more easily transferred to environments not encountered during training, than corresonding olicies discovered by DRL.
"
33,2018,Structured Evolution with Compact Architectures for Scalable Policy Optimization,Oral/Poster,"We resent a new method of blackbox otimization via gradient aroximation with the use of structured random orthogonal matrices, roviding more accurate estimators than baselines and with rovable theoretical guarantees. We show that this algorithm can be successfully alied to learn better quality comact olicies than those using standard gradient estimation techniques. The comact olicies we learn have several advantages over unstructured ones, including faster training algorithms and faster inference. These benefits are imortant when the olicy is deloyed on real hardware with limited resources. Further, comact olicies rovide more scalable architectures for derivative-free otimization (DFO) in high-dimensional saces. We show that most robotics tasks from the OenAI Gym can be solved using neural networks with less than 300 arameters, with almost linear time comlexity of the inference hase, with u to 13x fewer arameters relative to the Evolution Strategies (ES) algorithm introduced by Salimans et al. (2017). We do not need heuristics such as fitness shaing to learn good quality olicies, resulting in a simle and theoretically motivated training mechanism.
"
34,2018,The Weighted Kendall and High-order Kernels for Permutations,Oral/Poster,"We roose new ositive definite kernels for ermutations. First we introduce a weighted version of the Kendall kernel, which allows to weight unequally the contributions of different item airs in the ermutations deending on their ranks. Like the Kendall kernel, we show that the weighted version is invariant to relabeling of items and can be comuted efficiently in O(n ln(n)) oerations, where n is the number of items in the ermutation. Second, we roose a suervised aroach to learn the weights by jointly otimizing them with the function estimated by a kernel machine. Third, while the Kendall kernel considers airwise comarison between items, we extend it by considering higher-order comarisons among tules of items and show that the suervised aroach of learning the weights can be systematically generalized to higher-order ermutation kernels.
"
35,2018,"The Limits of Maxing, Ranking, and Preference Learning",Oral/Poster,"We resent a comrehensive understanding of three imortant roblems in PAC reference learning: maximum selection (maxing), ranking, and estimating \emh{all} airwise reference robabilities, in the adative setting. With just Weak Stochastic Transitivity, we show that maxing requires $\Omega(n^2)$ comarisons and with slightly more restrictive Medium Stochastic Transitivity, we resent a linear comlexity maxing algorithm. With Strong Stochastic Transitivity and Stochastic Triangle Inequality, we derive a ranking algorithm with otimal $\mathcal{O}(n\log n)$ comlexity and an otimal algorithm that estimates all airwise reference robabilities."
36,2018,Black Box FDR,Oral/Poster,"Analyzing large-scale, multi-exeriment studies requires scientists to test each exerimental outcome for statistical significance and then assess the results as a whole. We resent Black Box FDR (BB-FDR), an emirical-Bayes method for analyzing multi-exeriment studies when many covariates are gathered er exeriment. BB-FDR learns a series of black box redictive models to boost ower and control the false discovery rate (FDR) at two stages of study analysis. In Stage 1, it uses a dee neural network rior to reort which exeriments yielded significant outcomes. In Stage 2, a searate black box model of each covariate is used to select features that have significant redictive ower across all exeriments. In benchmarks, BB-FDR outerforms cometing state-of-the-art methods in both stages of analysis. We aly BB-FDR to two real studies on cancer drug efficacy. For both studies, BB-FDR increases the roortion of significant outcomes discovered and selects variables that reveal key genomic drivers of drug sensitivity and resistance in cancer.
"
37,2018,Variable Selection via Penalized Neural Network: a Drop-Out-One Loss Approach,Oral/Poster,"We roose a variable selection method for high dimensional regression models, which allows for comlex, nonlinear, and high-order interactions among variables. The roosed method aroximates this comlex system using a enalized neural network and selects exlanatory variables by measuring their utility in exlaining the variance of the resonse variable. This measurement is based on a novel statistic called Dro-Out-One Loss. The roosed method also allows (overlaing) grou variable selection. We rove that the roosed method can select relevant variables and exclude irrelevant variables with robability one as the samle size goes to infinity, which is referred to as the Oracle Proerty. Exerimental results on simulated and real world datasets show the efficiency of our method in terms of variable selection and rediction accuracy.
"
38,2018,Clustering Semi-Random Mixtures of Gaussians,Oral/Poster,"Gaussian mixture models (GMM) are the most widely used statistical model for the k-means clustering roblem and form a oular framework for clustering in machine learning and data analysis. In this aer, we roose a natural robust model for k-means clustering that generalizes the Gaussian mixture model, and that we believe will be useful in identifying robust algorithms. Our first contribution is a olynomial time algorithm that rovably recovers the ground-truth u to small classification error w.h.., assuming certain searation between the comonents. Perhas surrisingly, the algorithm we analyze is the oular Lloyd's algorithm for k-means clustering that is the method-of-choice in ractice. Our second result comlements the uer bound by giving a nearly matching lower bound on the number of misclassified oints incurred by any k-means clustering algorithm on the semi-random model.
"
